Business Name,Business Category,Address,Contact
Rajashree General Store,General store,"Shop No 02, near Rajashree Studio",098019 49873
Mandla General Store,General store,"Shop No 02, near Surya Palace",090637 05220
Mayur General Store,General store,Bypass Rd,062305 16899
Aniket General Store,General store,"Shop No 01, near Kamalda Pokhra",084593 36768
Sondi General Store,General store,"Shop No 02, near Hanuman Mandir",081799 21466
Kuldeep General Store,General store,Bhumihari Feild,062621 26561
Bisai General Store,General store,"Shop No 01, PP Rd, near Durga Mandir",091770 18815
Erothu Store,General store,"Shop No 01, near Prem School",081060 59881
Gobindo General Store,General store,"Shop No 01, Musafirganj Rd, near Apsra Hotel",094314 80301
Chandra General Store,General store,"Shop No 01, near Kamal Pokhara",086020 63549
Paul General Store,General store,"Shop Non01, near Bhunihari Field",074404 77931
Golu Kirana&Genral Store,General store,"Ganesh Bhavan Jyoti Chowk, 22, Koirpurwa Rd",072092 48950
Piyush General Store,General store,Girls High School,062037 61300
Venktesh General Store,General store,Shop No 01 Civil lines,095504 74467
Akhilesh Store,General store,"Shop No 01, Main Road, near Sudha Dairy",084079 15198
Prince Kumar Paswan,General store,"Shop No 01, near Station Railway",074883 78277
Lalita General Store,General store,"Shop No 01, near East Punjabi",076828 54151
Arti General Store,General store,"Shop No 01, Main Road, near Juice Corner",075175 26852
Dasari General Store,General store,Shop No 01,063031 46763
Sirjavat General Store,General store,"Shop No 01, Main Road, near Sarita Clince",089562 77987
Prashant General Store,General store,"Shop N0 02, near Durga Mandir",095570 93241
Raajana General Store,General store,"Shop No 01, near Sohani Patti",098669 39448
Rinki General Store,General store,"Shop No 01, near Saib today",077710 86354
AMUDALA GENERAL STORE,General store,"Shop No 01, PP Rd, near Redbul Office",088788 67004
Soma General Store,General store,"Shop No 01, near Sohni Patti",090518 60376
Vishal Manjhi General Store,General store,"Shop No, 01, near Punjab National Bank",088188 75282
Dupana General Store,General store,"Shop No 02, near Civil Lines",082970 96249
GODU GENERAL STORE,General store,"Shop No 01, near Mahila Thana",096300 02990
Zaki Javed General Store,General store,"Shop No 01, near Durga Mandir",076682 04812
Raja General Store,General store,"Shop3455, near Durga Temple",095075 39869
Jitesh General Store,General store,"Shop No 01, near Busstand",073045 24046
Samir Rajak General Store,General store,"Shop No 01, near Bhumihari Field",095930 21935
Anmol Genral Stor,General store,Jyoti Chook,063706 54198
Santosh Kumar General,General store,HXJM+3GJ,084214 50466
Kundan General Store,General store,"Shop No 02, near Ashoka School",081097 82562
Balaji General Store,General store,"Shop No 01, near Itarhi",087885 33028
Hariom General Store,General store,"Shop No 01, Bandh Rd, near Shiv Mandir",088720 85273
Rohit Sabar General Store,General store,"Shop No 01, near Nahar",089672 75059
Damayanti General Store,General store,"Shop No 01, Main Road, near Chandi Mall",084801 08422
