Business Name,Business Category,Address,Contact
Sujata Trading,Hardware store,"Sujata Trading Lohapatti Road, Main Market",094730 18058
S. K. Traders,Hardware store,Kaurihar Rd,070045 00847
Raunak Work Shop,Hardware store,Men Rood,062032 59287
DCM Roofing,Hardware store,"Machli Bazar, Ramgovind Ram Road, near Shivam Fal Mandi",079034 97384
Vishalmachinerytools,Hardware store,"HOUSE No 13, Lohar Patti Road",070330 72516
NAYAN MACHINE TOOLS,Hardware store,Ward No 12,087973 84769
Jagrity Traders,Hardware store,0 Khakariya,082100 00688
Shiv Shakti Light House,Hardware store,Block Rd,091555 11531
S.R. ENTERPRISES,Hardware store,"ward no 04, Trimurti chock, near Trimurti chock",087096 79447
Harsiv Enterprises,Hardware store,Shop No 01 Koriya Tola Raxaul Koriya,099421 49058
Om Sai Enterprises,Hardware store,Chawal Bazar Rd,099392 49496
Kumar Digital,Hardware store,Kumardigital Vill,094308 75359
NUW MOHAN MOTARSAIKIL SAPEYS,Hardware store,Men Rood,083401 60701
JIMILAL MISTRI,Hardware store,"Pankaj Cinema Hall, Mani Raod Pankj Hall Ke Pass Laxmepur, Mani Road",072588 58777
Shree Viswakarma Glass,Hardware store,"Block Rd, near Shree Ram Janki Mandir",099344 50782
Janta Aluminium Hause,Hardware store,XR8W X8M,074887 80874
MOHAMAD SANI,Hardware store,"LANE NO 2, ABHISHEK NEAR SHANKAR MANDIR, Q TREND MALL",095044 35624
Asian Paints Beautiful Homes Painting Service,Painter,"JAGDAMBA H/W STORES, Lohapatti Rd",08071 682 171
Madhuri Motorcycle Spear Parts,Hardware store,Men Rood,062051 63530
Shashi hardware,Hardware store,ward no 1,090877 00448
BAM BAM BUILDERS,Hardware store,Sikaria complex,062878 90381
DILLI TRADERS,Hardware store,"MAIN ROAD PANDEY MARKET, near SURAJ HOTEL",075418 97239
GAURI GANESH HARDWARE,Hardware store,"Kaurihar Chowk, Near State Bank, Racaul, Main, Road",074910 97124
KUMAR ENTERPRISES,Hardware store,BATA CHOWK,070041 88825
LOKESH HARDWEAR,Hardware store,"24, Nahar Chowk",099311 05597
SHYAM HARDWARE,Hardware store,Lohapatti Rd,094700 26248
New Manokamna Light House,Hardware store,"Barnwal Market, Lohapatti Rd",094724 20472
Rakesh Motacyckil,Hardware store,Men Rod,077829 58595
Hari Bath And Fitting,Hardware store,Main Road,084096 72048
Adarsh Enterprises,Hardware store,1234,096310 71675
New Sunrise Machinery,Hardware store,"Raxaul Bazar, Shree Ram Path",070501 16100
Amit Gas Dukan,Hardware store,"NEYAR BY GUDDU BABU KE HOSPITAL, MANI RAOD, College Rd",070337 23405
Muskan Motorcycle Repairing Centre,Hardware store,"SRP Hospital Ke Pass, Mani Raod",077362 85438
K-Lounge,Clothing store,"Bank Rd, near Raunak Garments",094312 66166
Louis Philippe - Raxaul,Men's clothing store,"Louis Philippe, Maskara Complex, opposite Post Office Road",091615 70825
Gupta Trading - wholesale cloth shop Raxaul,Clothing wholesaler,"Krishna takij compound, Ashram Rd, near by Middle School Gali",075439 34566
PUMA Store,Sportswear store,"NH527D, beside Bank of Baroda",088790 35561
Ms Garments,Clothing store,"sbi, new bus stand road, near Kaurihar choak",088252 65865
Jockey Exclusive Store,Clothing store,"Near Indian Custom, Main Road",070049 65464
The Raymond shop,Clothing store,"Ground Flr, Sikaria complex, Main Road, near ICICI Bank",080 4493 8953
Blackberrys,Clothing store,"Ground Floor, Opposite Taramahal, Shri Ram Path",088792 78455
Monte Carlo,Clothing store,"MASKARA COMPLEX, opposite Post Office Road",099559 98609
FirstCry.com Factory outlet Raxaul Koiriya Tola,Baby store,"khata No-43, Thana-07,tauzi No- 951, Mauza - PRaxaul, Chowdhry Tola Rd",091133 71325
ShubhLakshmi,Clothing store,"Ward no.6, Bank Rd, below Marwari Panchayati Mandir",098526 56144
Kabir Garments,Clothing wholesaler,"Sonar Patti, Gali Main Market, near Bahurani saree showroom",088106 66673
Saree Sangam,Clothing store,XVM3+P62,094710 05355
Barsana By Dulhan,Clothing store,"Main Rd, near Indian Custom",098352 09849
ADHUNIK DRESSES READYMADE CLOTHING STORE,Clothing store,"AKARSHAN GALI, Bank Rd",098018 75098
Raunak Garments,Men's clothing store,"Bank Rd, in front of Sundari Saree",094709 58993
ARFA FAISHION GARMENTS,Clothing store,"HWAI, Raxaul, ADDA ROAD",089692 12948
Ritik Dresses,Clothing store,Bank Rd,073520 95856
Manyavar,Men's clothing store,"Ground Floor, Sikaria complex, Main Road, opposite Police Station",080 3700 2436
Shreeman Shreemati,Men's clothing store,National Highway 28A,091551 72511
Pooja Dresses,Clothing store,"Mayur Gali, in front of Vastra Lok",080929 12206
Prem Dresses,Clothing store,Mayur Gali,085440 83475
Manpasand Saree Show Room. Raxaul,Clothing store,"XVM2+GXX, NH527D",094712 33722
Nepal Saree Center,Clothing store,Ashram Rd,091991 30766
Klub Fox | Main Road | Raxaul,Men's clothing store,"A1, Main Road",090315 47569
Nandlal Vinod Kumar LLP,Saree Shop,"Loharpati, Meena Bazar",080995 82382
Dhan lakshmi collection.,Clothing store,mina bazar,094306 45548
Vaishno Vastralaya,Clothing store,XRMX+WVM,085441 74682
Rajmata Saree Showroom,Clothing store,"Post Office Rd, near Indo nepal",091555 02284
New Maharani Saree Show Room,Clothing store,Lohapatti Rd,094732 86880
MODERN FASHION,Clothing store,MAIN ROAD MEENA BAZAR BHELAHI,082945 16366
Ansu Garments,Clothing store,LIC ROAD,072929 24711
Grih Laxmi Textiles,Clothing store,"Sawera Gali, Main Road",095766 54991
Maaq fashion,Men's clothing store,"choak, near sbi bank",088252 65865
School Uniform House,Uniform store,"Jeans park, gali, Bank Rd, opposite of Unique Departmental Store, near patanjali store",094719 28293
Purple United Kids,Children's clothing store,"Ground floor, opp. Ashram Road",093193 91444
Jay shree hanuman trading company,Clothing store,Arya Samaj Rd,087575 85277
LADIES FASHION,Clothing store,Bank Rd,088044 91698
BAHURANI SAREE SHOW ROOM,Saree Shop,"MEENA BAZAR, near JENIKA BEAUTY RAXAUL",096315 61167
Siyaram's,Men's clothing store,"XVM3+G4R, Bank Rd",094312 94299
Aadya's fashion Hub,Designer Clothing Store,"Allahabad Bank, Gali, Naga Rd, beside Bikaner sweets",084091 83999
Laxmi Fashion,Saree Shop,Laxmi Fashion,062073 39251
Shrivtastav Textiles,Clothing store,10,073012 59894
Brand bagga,Fabric store,SONARPATI CHOWK,072580 32028
RAKESH KUMAR,Clothing store,"10, Arya Samaj Rd",095469 29617
Footwear Shop,Saree Shop,Post Office Rd,062873 55015
Amarnath Vastralya,Clothing store,Bank Rd,083404 97705
Rahul Kumar,Men's clothing store,Mircha Patti,087004 08439
STAR UNIFORM,Clothing store,"Taj Market, near Raxaul",074629 50282
Gudu Telars,Men's clothing store,Chauk Raxaul Road,090160 61574
Ravi Phul Vhandar,Saree Shop,Ramji Chauk,082278 52689
Vela Sailing The Indian Crafts,Saree Shop,Bank Rd,096105 41347
GANPATI COLLECTION,Clothing store,"Bank Rd, near by Jenika Beauty general Store",070916 80857
Bata Shoe Store,Clothing store,"No. 187, Main Road, opp. Mirchapatti Road",077650 82398
RB FASHION,Men's clothing store,"LANE NO 2, ABHISHEK NEAR SHANKAR CHOWK, Q TREND MALL",074882 50718
Pari vastarly,Clothing store,Naukatola,072580 10687
SURYA DRESSES,Clothing store,0 Mina bazar,094708 42928
N.G.Trading company,Clothing store,"Savera Gali, Main Rd",073523 99496
MANYA GARMENTS AND MKIDS,Clothing store,Bank Rd,094730 18930
Ram Kisan Saree Dukan,Saree Shop,"2233, Main Road",085218 77222
Riddhi Siddhi,Clothing store,sonar patti Chawk,089861 17251
Shree ram saree,Clothing store,Patel Path,095464 08080
THE GENIAL STOFFA CO.,Clothing store,XRRQ+P7W,093508 34027
difenco,Clothing store,Duncan Rd,062073 69398
ARCHANA SHREE,Clothing store,Lohapatti Rd,094312 94302
SHUBHAM DRESSES $RAJESH VASTRALYA,Clothing store,"BAZAR, Bhelahi Rd",087573 67699
Kishan Vastralay,Clothing store,00,099554 67673
Jai Hind Khadi Bhandar,Clothing store,"Jagmal Singh, Gali, Bank Rd",091557 27394
Anjali Fashion,Clothing store,"MAIN ROAD, Shri Ram Path",070043 09385
Nerolac Paints - Sahu H/W Stores,Paint store,Xvm2+Ggj Sahu H/W Stores Lohapati,094302 22725
Ujjawal Hardware,Paint store,"Kaudhihar, Block Rd, below central bank of india",099310 81484
Om Sai Traders,Paint store,"Ashram Rd, near Dps School Middle School",062045 26099
Priya paints,Paint store,"Bus Stand, Road, near Petrol pump",070797 93438
PORTGAURD - Shree Raghunath traders,Paint store,"Pokhara gali, nnear shiv hari saree showroom, Patel Path",091991 58308
PUMA Store,Shoe store,"NH527D, beside Bank of Baroda",088790 35561
Bata Showroom,Shoe store,XVM3+W8R Bata Chauk,062076 00438
Sahil footwear,Shoe store,"XVM2+7RJ, Post Office Rd",091232 08511
SHOE DARBAR,Shoe store,"Raxual, Bank Rd, in front of Siyaram Shop",087099 62384
Foot Fashion,Shoe store,Post Office Rd,062018 44454
Bata Shoe Store,Shoe store,"No. 187, Main Road, opp. Mirchapatti Road",077650 82398
SA Footwear Raxaul,Shoe store,Sainik Rd,062018 08384
Royal Footwear,Shoe store,"Pool Kei Paas, Ghandi Nagar Pul Kei Paaas, Gandhi Nagar Main Rd",098012 63704
Sultan Enterprises,Shoe store,05,094722 39675
ANKIT FOOTWEAR,Shoe store,Kaurihar Rd,087090 00178
Rukhsar Shoe Store,Shoe store,Raxaul,098351 16363
Family Fashion Palace,Shoe store,01,090061 44110
Ramesh Footwear,Shoe store,"1, Post Office Rd",082357 21603
Salim Shoe,Shoe store,"Monte Carlo , Raxaul, Bihar 845405, Post Office Rd",073521 66925
Shubham Car Decor,Auto Accessories Store,Koiriyatola Main Road Near V-MART,082107 67844
"Om Electricals, Raxaul.",Electrical products wholesaler,"Main Road, opposite Hanuman Mandir",095465 58063
Tanishq Jewellery - Raxaul,Jewelry store,Raxaul - Shyampur Rd,077818 06625
SHREE BAUDHIMAI STATIONARY,Stationery store,Airport road,088092 37627
Mukesh Traders,Disposable Items shop,Bank Rd,091995 51747
Merino Laminates - Shree Ganpati Glass House,Plywood supplier,"Ward No 25, Ground Floor, Pankaj Chowk, Main Road, near Pankaj Cinema Hall",08071 889 040
Shri ram stationary,Shopping mall,"Station Rd, in front of block",085079 99068
VIDYARTHI PUSTAK BHANDAR,Book store,"MAIN ROAD, near HDFC BANK",098524 34088
VISHWAS STATIONERY AND GIFT HOUSE,Gift shop,Duncan Rd,082107 80717
STUDENT BOOK ZONE,Book store,"K.C.T.C. College, College Rd",083406 28757
DHAMAKA STORE,Book store,MAI ASHTAN MAUJE RAXAUL,079799 32021
S A ENTERPRISES,Stationery store,"23, Sainik Road",095707 54993
New Humsafar,Photo lab,"ganga apartment, main road",099393 54236
Muskan Book Banding,Book store,"Ward Number 25, behind Old Nagarpalika",095464 14940
Lakshmi electronic stationery,Book store,Anand Sagar gaad,076338 83447
SAHID KITAB GHAR,Book store,"RISHU, Q TREND MALL LANE NO 2 RISHU Q TREND MALL LANE NO 2",099314 53380
SHREE VAASSPP THE COMPLETE WATER SOLUTION,Store,"Ward No 23, Shiv Puri, Naga Rd, near KUMAR DIGITAL PRINT AND PRINTER CARE",080022 22924
Namaste Nepal light house,Countertop store,"Adarsh chowk, Bank Rd, near canara bank",094700 26630
Treta jii ka bartan dukan,Jewelry store,Lohapatti Rd,082104 10522
Alka jewellers & Shashi jee ka bartan dukan,Jeweler,Lohapatti Rd,070501 08330
Vaishnavi Oil Mill,General store,"Vaishnavi Oil Mill, Old Exchange Rd",091990 50495
GUPTA GENRAL STORE,General store,Station Rd,070047 86056
RAVI KUMAR,General store,"WARD NO 21, NEAR BADDI MASZID RAXAUL, MIRCHA PATTI ROAD",094726 84774
GUPTA KITCHEN HOUSE,Home goods store,"Shiva Temple, Ramgarhwa Bazar Rd",062992 27195
New Nepal Emporium,Wholesaler household appliances,"Shree Ram Market, Mayur Gali",099342 10278
प्राथमिक पशु उपचार एवं कृत्रिम गर्भाधान केंद्र,Veterinary pharmacy,"XPWX+W6V, Senuariya - Bhawanipur Rd",073668 87700
Maya Aquarium,Aquarium shop,XRHV+883,073017 50085
Himalaya Wellness Store,Pet supply store,"Nimbu Chauk, Post Office Rd",087573 38715
"Motihari pet shop & Aquarium Gold Fish (All types of Dog Puppy, Exotic Birds irds &Fish)",Pet store,"D.A.V - SHANKAR SARAIYA, ROAD",082107 37778
"Annapurna Sweets,Bakery and Restaurant",Restaurant,Main road,082352 44345
Arihant Trading,Dry Fruit Store,"Main Road, near Indian Custom office",063503 63394
Sitaram Chsudhary,Sweet shop,Handi Bazar,095235 63713
Yadav Sweet,Auto parts store,01,062066 18871
Bikaner Family Resto,Restaurant,"Main road, near Bank of India, opposite raxaul police station",062024 70455
KALYAN JEWELLERS - Raxaul,Jewelry store,"Laxmipur, Near Pankaj Cinena, Raxaul East",1800 425 7333
Kedar Mishthan Bhandar,Sweet shop,Pachpakri,075468 24585
Om Kumar,Motorcycle shop,NH527D,074610 62811
Varanasi Pan Dukan,Tobacco shop,"Main road ,raxaul Raxaul, near by Bank Road",094312 49088
Apollo Diagnostics,Diagnostic center,"Ashram Rd, near Ajanta Hotel",096061 12399
"Agilus Diagnostics - Raxaul, Champaran",Diagnostic center,"Main Road, opposite Sona Hall",080 6949 6507
SRL Diagnostic,Diagnostic center,"New unique diagnostic, New Bus stand",098011 94399
Abdul Kiran,Diagnostic center,Men Rod,091282 92884
Redcliffe Labs - Collection Center,Diagnostic center,"Ward No-1, near Budhi Mata Mandir",079 6912 2564
"Thyrocare Diagnostic Lab | Blood Test Centre - Parsurampur, Raxaul",Diagnostic center,"Nahar Chowk, opp. sona Hall",075630 94217
Dr Lal PathLabs - Patient Service Centre,Diagnostic center,"Ground Floor Mauje, Neqr, Thana No 07",080 6256 5401
THYROCARE COLLECTION CENTRE RAXAUL,Blood testing service,"SONA CINEMA, opposite SONA CINEMA",075630 94217
Redcliffe Labs - Collection Center,Medical laboratory,"Ward No-1, near Budhi Mata Mandir",079 6912 2564
THYROCARE LAB (Authorized Service Provider),Pathologist,"Thyrocare, Raxaul Health Care, Kaurihar Rd, below SBI Bank",084345 52544
The Learning Lab,Education center,College Rd,096085 32930
Muskan Video Lab,Computer support and services,New icp haraiya,087097 61799
RK Digital Studio & Digital Video Lab,Photography service,"Rajeshwor Hotel, Block Rd",062011 34552
Public Pathology,Medical laboratory,"NH527D, Raxaul - Shyampur Rd",092340 62340
Perfect Video Lab,Internet cafe,Station Rd,090971 88038
Sinclairs Laboratories,Pharmaceutical company,"XRPV+G28, Station Rd",06255 220 800
Swati hardware and paints shop,Paint store,"Front of new Sultanaganj railway station gate, Sultanganj Station Rd",062017 62902
Nerolac Centre - Shuvam Enterprises,Paint store,"6Pvq+F6G Shuvam Enterprises, Sultanganj Station Rd",085419 84090
Mayanath Paints,Paint store,6PWV+MH3,099340 38094
Aditya Plywood And Hardware,Furniture store,"6PWR+MQC, GK Rana Marg",095762 88108
Marble house sultanganj,Tile store,"Station road, near uco bank",093044 26161
SHIVAM ENTERPRISES,Tile store,near Icici Bank,079090 64547
STUDIO GUDDU ABJUGANJ,Photography studio,"Abjuganj, Baikatpur Rd",099348 46162
Khetan Hardware & Woods,Store,Anand Chikitshalaya Road,087703 16678
Sharma Enterprises,Furniture store,"Sharma Enterprises, Na",082404 22557
MAA KALI FURNITURE HOUSE,Furniture store,"इलाहाबाद बैंक, कन्हैयाचक मेन रोड",085390 26859
DECOR GREEN,Wallpaper store,CC Mukherjee Rd,090065 33911
Maa Ambe Electronics,Furniture store,"Balu, Sultanganj, Ghat Rd",089871 83658
Ranjeet Furniture House,Furniture store,Sitarampur,085210 94666
JAGRITI GLASS& ALUMINIUM HOUSE,Furniture accessories,Murarka college road Sultanganj bilar,082101 46456
MURARI FURNITURE HOUSE,Furniture store,"6PWR+Q7P, ठाकुरबाड़ी याना के पास",095343 77472
ADARSH FURNISHING,Window treatment store,Patal Babu Rd,092341 95111
सरस्वती D.J. डेकोरेशन,Clothing store,"6QJ3+G95, Sultanganj-Shakund Road",062878 00202
ANGEL PATHOLOGY SULTANGANJ,Diagnostic center,Bypass Rd,077598 96352
BALAJI ULTRASOUND & DIAGNOSTIC CENTRE,Pathologist,"Upper Rd, near icici bank",099556 75404
Apollo Diagnostics,Diagnostic center,"Durga Sthan, Purani 14, near DAV public school",096061 12399
SB Mart,Grocery store,"Agresarika Commerce Pvt Ltd Sitarampur Tarapur Road, near Railway Over Bridge",095555 19966
Chammach Katori,Countertop store,"DN Singh Rd, near Priya Puja Payal",097982 25271
Unique Kitchenware & Gift Corner,Countertop store,"Dr RP Rd, near marwari pathshala",080134 48256
New Bhagalpur Bartan Bhandar,Kitchen supply store,"Gurudwara Road, near hotel vineet",062001 29202
Gangaram enterprises,Hardware store,Tarapur road,099314 46794
Kushwaha Beej Bhandar,Store,"Near Mahavir Sthan, Main Road, Sultanganj - Bhagalpur Rd",090978 60840
Maa Tara Downloding & Micro ATM,Electronics store,"Sabzi Market, Thana Rd",075419 78992
BABA STORE,Produce market,"Savita Talkies, Road, near Kids Play School",090651 29882
RUPAK STUDIO,Photography studio,"6PWP+M46, Dhaja Gali,",093046 65488
Shiv Bartan Bhandar,Kitchen supply store,"Patal Babu Rd, near Gurudwara",097715 13907
Livguard - Jaiswal Battery House,Battery Store,Ground Floor,075495 87181
Aman Jan Seva Kendra,Computer store,"Bypass Rd, near Sawita Cinema Hall",076313 77186
Prisha Vision,Electronics store,"Pratimalaya Station Road, Sultanganj - Bhagalpur Rd, near Chhoti Masjid",085274 94953
R & R PLASTIC ZONE,Home goods store,"Railway Station, near Petrol Pump",098522 31372
Kesan Marble,Marble supplier,Sultanganj Station Rd,098744 79601
Maa Tara Tilkut Bhandar,Restaurant,6PWQ+F3J,093042 02138
Ayush Sweet Shop,Restaurant,Chowk,062004 96540
Pets plaza sultanganj,Pet store,"Shop no 1, Bhagalpur Jamalpur Road, in front of police station",087792 65760
Diamond Pet Shop Tilkamanjhi,Pet store,Sitla Asthan Rd,088508 18130
Raja Shoe Store,Shoe store,"Chowk bazar, Ghat Rd",079036 33677
CHERRY SHOES,Shoe store,"DN Singh Rd, opp. TANISQ SHOWROOM",094312 14487
SUNNY FOOTWEAR,Shoe store,Sultanganj Station Rd,074620 92997
Royal shoes store { Atul Singh },Shoe store,"Main Chowk,Ghat road sultanganj,bhagalpur Front of aatmadas market gate no.2 Krishna bhawan",096319 99320
Shoe,Shoe store,Brajesh Kumar,094721 64295
Shoe Gallery,Shoe store,"Masjid Market Masjid Market, Sultanganj Station Rd",080922 86792
Jai bharat store,Building materials store,"7P2P+FQX Balu, Ghat Rd",092045 49692
Shivam Dresses,Clothing store,"Ghat Rd, near Aatmadas Thakurbari",086788 86061
Gautam Readymade,Clothing store,Aatma Baazar,090657 16268
Bol Bam Readymade,Clothing store,Sultanganj Road Sultanganj,070704 28239
New Prince Tailor,Clothing store,purani durga mandir road opposite- ladies hospital,05201 934 101
Aryan Fashion,Clothing store,"railway station, road, Sultanganj - Munger Rd",062059 67180
Samar Redaymad,Women's clothing store,Samar Redaymad,090973 11405
ANNU WATCH,Watch store,"New Durga Asthan, Chowk Bazar",093043 88424
Mahaveer Dressa,Clothing store,Shyambagh Sultanganj,075440 61167
Shivnandan Redimed,Clothing store,Sultanganj - Bhagalpur Rd,082526 80679
Mukesh Cloth Store,Clothing store,"Shultanganj, Road",095046 83384
Miya Jaan Kirana Store,General store,Thana Rd,080025 36602
KGN Footwear,Shoe store,"MORE, College Rd",097712 03690
STYLE READYMADE,Clothing store,Ghat Rd,062053 63744
KRISHNA DRESS,Clothing store,Ghat Rd,082987 61853
माँ सत्यभामा एम्पोरियम अबजुगंज,Shopping mall,6QW4+HJC,082109 47272
Maha Maya Beauty Parlor,Boutique,"Shultanganj, Sultanganj - Munger Rd",095702 94510
SONU VASTRALAYA,Clothing store,"Kali Mandir, Durga Mandir Marg, Teacher s Colony",080837 98887
Vicky Readymade Store,Garment Exporter,"Abjuganj, in front of Hanuman temple",092344 41302
ROHIT READIMENDT,Clothing store,4,095256 61709
Nancy Enterprises,Clothing store,"52, Sultanganj - Deoghar Rd",062036 29327
Rupali Enterprises,Electronics store,Rupali Enterprises Chowk Bazar,095615 84524
Rohit Thakur Redimate,Clothing store,Balu Ghat,089695 16912
Sonali Burty Parlour,Baby store,"132, Sultanganj Station Rd",084060 70622
A K Agencies,Shopping mall,"6QX4+379, Unnamed Road",088874 17803
Maa Ambey Vastra Bhandar,Clothing store,"Maa Ambey Vastra Bhandar, Sultanganj - Bhagalpur Rd",078705 60892
UN ENTERPRISES,Baby store,Upper Rd,090316 53644
Raza Cloth Store,Clothing store,"Suiya, Sultanganj - Deoghar Rd",095347 97065
Rohan Dresses,Clothing store,Dilgori Mor,087893 16903
New Sony Readymade,Men's clothing store,"Ghat Road Sultanganj, Chowk",077648 90001
Rocky Readymade,Clothing store,0,070339 53287
MANDAL PARIVAR,Clothing store,6QM2+C8G,076340 16713
फैशन पार्क,Clothing store,"6PVQ+65P, Sultanganj Station Rd",095704 27608
Puja Kumari,Clothing store,"138, near Over Bridge, Rajgangapur",093410 14088
Sangam Readymade,Men's clothing store,Sultanganj - Bhagalpur Rd,091220 28894
Sleeper Shop,Sportswear store,03,082922 84045
Sanvi Fashion,Clothing store,Sanvi Fashion Kamarganj,082929 76334
मुस्कान लेडिज मलर्स,Clothing store,"6PWP+M56, Upper Rd",072948 71555
AJGABI NATH JEWELLERS,Jewelry store,"Sultanganj-Shakund Road, Shahabad, Baikunthpur Sultanganj",088773 30808
MAA LAXMI VASTRALAYA,Clothing store,"Baikunthpur Shahabad, Chowk",091134 61517
Maa Tara Vastralya,Clothing store,"Abjuganj, Gola Rd",082718 84985
Mohammad Samshul,Jewelry store,Sultanganj Station Rd,090312 67129
POPULAR HOMOEO PHARMACY,Pharmacy,"Ward Number 5, Ghat Rd",095723 67238
Mantu Medical,Pharmacy,6QW4+PPC,075499 54530
Shree Ram Medical Hall.,Pharmacy,"6PWH+3RC, NH33",070330 37332
Mukesh Medical Store,Pharmacy,GK Rana Marg,085215 38374
Avinash Medical Store,Pharmacy,Abjuganj,075499 54530
SastaSundar Sultanganj Medico,Pharmacy,"Khata No.-162, Khasra No.-292, 293 Property No.-241002754, Balu Ghat Road Sultanganj, Dist.-Bhagalpur, Tal, Sultanganj - Bhagalpur Rd",081494 65172
SECULAR AGENCY ( WHOLESALER of VETERINARY MEDICINE),Pet supply store,North,077799 90812
Amar Medical Hall (vetinary),Pharmacy,Patal Babu Rd,085070 67443
HomeoPathic Clinic & Medical,Homeopathic pharmacy,Sultanganj Station Rd,097088 81710
Om sai herbal,Pharmacy,Gangapur Rd,072774 30553
Anni Garments,Clothing store,Dr RP Rd,075496 81472
Chandan Vastrala,Clothing store,"Abjugang, Gola Rd",062992 59072
Dilruba Readiment,Clothing store,2,099734 54466
Muzaffar Fashion,Clothing store,6XVG+X9P,090970 59108
variety,Clothing store,"Bazar, Infront Of Shiv Mandir Variety Chowk Bhagalpur Sujaganj",099055 96092
Women's Shop Boutique,Women's clothing store,"Patal Babu Rd, near V Mart",075492 58245
Gautam Store,Clothing store,Station Chowk,099558 64783
HAIDER ALI AND SONS,Clothing store,"L N SINGH LANE MOMIN TOLA, near JAMA MASJID",070042 59721
Pathkind Labs,Medical clinic,⋅ Closes 8 pm,091109 49502
Dr Lal Pathlabs,Diagnostic center,⋅ Closes 8 pm,011 4988 5050
A to Z Mart,Grocery store,J58M+646,099054 99111
Home Mart,General store,Ashok Rajpath Rd,084099 66337
Shreyansh Store,Grocery store,"No12, 3A Road",092344 08433
Al Hayat Store,Wholesaler,"402, Mohammadpur Rd",095725 31747
Aman Store (Anuj Kumar Choudhary),General store,"6PWP+JXV, Sultanganj - Bhagalpur Rd",094318 76562
PRIYANSH GENRAL STORE AND STATIONARY,General store,"Mathura, Sultanganj - Deoghar Rd",099106 46570
Crown Plastic & kitchen Item's,Grocery store,"Raza Complex Market, Patthar Ki Masjid",076773 29980
Inderdeo Prasad Kirana Shop,Grocery store,"J57P+WGF, Patther Ki Masjid, Ashok Rajpath Rd",098012 87360
Munna Sringar Store,Grocery store,"Tarapur Munger Main Road, Sultanganj - Deoghar Rd",099319 94651
KiranaWala 7x11,Grocery store,"Opposite of D.D.C Residence, KKM College Rd, near jhajha bus stand",087973 36337
General Stores,General store,"Shop No -1Thana Rd, 6",093349 06213
NAUSHAD FRUITS,Fruit and vegetable store,NH-80,090063 91310
Roushan Kirana Store,Indian grocery store,Gola Rd,095705 02946
Sastri Kirana,Grocery store,Raghunathpur Ghorghat,088737 46084
"OM GENERAL STORE ( AUTHORISED FIREWORKS DEALER, AND FMCG WHOLESALER )",FMCG Goods Wholesaler,"Sadar Bazar, near Fari",099347 36380
Mohan General Store,Grocery store,Kalisthan,079035 87680
Patanjali Gramin Arogya Kendra,Indian grocery store,Ground Floor Munger,062001 61893
Patanjali Gramin Arogya Kendra,Indian grocery store,"Ground Floor Bariarpur Road, Gobadda, Haveli",099397 37223
ONE SHOP MART,Grocery store,Sandhiya shree Sandhiya Shre A,079911 06625
Patanjali Gramin Arogya Kendra,Indian grocery store,"Infront of Block Gate, Ground Floor Jila Parishad Market",097098 35404
Patanjali Gramin Arogya Kendra,Indian grocery store,No 43,079923 66782
Nilambar Kirana Store,General store,Ghat Rd,099733 67002
RUDRA ENTERPRISES,Grocery store,"6JVQ+C6Q, Ghorghat",087092 39813
दीवान जी मार्केट,Grocery store,6PWP+MX7,090066 86827
Sainik canteen,Indian grocery store,Bhudharni More - Kaudia Rd,087776 76665
Manish Kumar,Grocery store,Bakari Mandi,086770 67858
Om Banna General Store,Grocery store,Om Banna General Store,073524 44030
Sarwan Kirana Store,Grocery store,Mamai Road Sajuaa Sajuaa,062002 95398
K.N. MEGA MART,Grocery store,Kailash Nagar,077628 03803
ADITYA TRADERS,Grocery store,"At.sabji mandi, thana road",074288 08626
Shivam Tel Mill,Grocery store,Bariyarpur,070793 76680
Hira Lal Shop,General store,Hiralal,070911 81545
Mithun Kirana Store,Grocery store,"Rajdhan Tola, Thana",099053 70041
Fauzi Kirana Store,Grocery store,"Fauzi Kirana, Rampur Road",077648 73332
Raj Kishore,Dairy store,Raj Kishor,099054 84212
"Shree Enterprise, Sultanganj, Pepsi Distributor",Cold storage facility,"ward no 3, Ghat Rd, beside Dr. anjani ,balu",095349 37216
SURAJ STORE MAHESHI,Cosmetics store,Chowk,082290 11608
Janu Cold Drink,Grocery store,"6RPP+GC8, Sultanganj - Bhagalpur Rd",095349 18870
Dindyal General Store,General store,"Near Gausiya Masjid Sultangang, Maker Road",062017 54281
Bhavesh Kirana,Grocery store,Road,076544 82889
Bestway Supermart,Indian grocery store,"Shahganj Gali, opp. Sudha Booth",092893 72003
Mamta Devi,Grocery store,"Rampur More, Sultanganj - Deoghar Rd",084344 24258
Happy Kirana And General Store,General store,8,098104 65485
Ramlal Market Parbatta,Supermarket,Bajar Road,096616 40155
Bittu General Store,General store,5,095762 15023
Mohammad Chand Alam,Grocery store,"Bhagalpur A, Sultanganj Station Rd, near Gamin Bank",095078 54819
Raj Tailors,Grocery store,"Main Road, Sultanganj - Deoghar Rd",075440 63268
Roushan Kirana Store,General store,Gola Rd,095705 02946
Alok General Store,General store,Sultanganj,062018 96330
MaaRadha General Store,General store,MaaRadha General Store,085212 77792
Himanshu Shop,General store,1,076676 27860
SAI GENERAL STORE,General store,Chowk,076349 36376
Pandit General Store,General store,Sultanganj,087976 04925
JIO OK LIFE GENERAL STORE,General store,Islamnagar post Gangapur thana Sultanganj dist Bhagalpur Bihar pin 813213,092629 76893
